country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,year
Gabon,63.7,57.7,3.5,18.9,15400.0,16.6,62.9,4.08,8750.0,2000
Gambia,80.3,23.8,5.69,42.7,1660.0,4.3,65.5,5.71,562.0,2000
Georgia,16.5,35.0,10.1,52.8,6730.0,8.55,72.8,1.92,2960.0,2000
Germany,4.2,42.3,11.6,37.1,40400.0,0.758,80.1,1.39,41800.0,2000
Ghana,74.7,29.5,5.22,45.9,3060.0,16.6,62.2,4.27,1310.0,2000
Greece,3.9,22.1,10.3,30.7,28700.0,0.673,80.4,1.48,26900.0,2000
Grenada,14.6,23.8,5.86,49.2,11200.0,0.48,71.3,2.24,7370.0,2000
Guatemala,35.4,25.8,6.85,36.3,6710.0,5.14,71.3,3.38,2830.0,2000
Guinea,109.0,30.3,4.93,43.2,1190.0,16.1,58.0,5.34,648.0,2000
Guinea-Bissau,114.0,14.9,8.5,35.2,1390.0,2.97,55.6,5.05,547.0,2000
Guyana,37.6,51.4,5.38,79.1,5840.0,5.73,65.5,2.65,3040.0,2000
Haiti,208.0,15.3,6.91,64.7,1500.0,5.45,32.1,3.33,662.0,2000
Hungary,6.0,81.8,7.33,76.5,22300.0,2.33,74.5,1.25,13100.0,2000
Iceland,2.6,53.4,9.4,43.3,38800.0,5.47,82.0,2.2,41900.0,2000
India,58.8,22.6,4.05,27.1,4410.0,8.98,66.2,2.6,1350.0,2000
Indonesia,33.3,24.3,2.61,22.4,8430.0,15.3,69.9,2.48,3110.0,2000
Iran,19.3,24.4,5.6,19.4,17400.0,15.9,74.5,1.76,6530.0,2000
Iraq,36.9,39.4,8.41,34.1,12700.0,16.6,67.2,4.56,4500.0,2000
Ireland,4.2,103.0,9.19,86.5,45700.0,-3.22,80.4,2.05,48700.0,2000
Israel,4.6,35.0,7.63,32.9,29600.0,1.77,81.4,3.03,30600.0,2000
Italy,4.0,25.2,9.53,27.2,36200.0,0.319,81.7,1.46,35800.0,2000
Jamaica,18.1,31.3,4.81,49.6,8000.0,9.81,74.7,2.17,4680.0,2000
Japan,3.2,15.0,9.49,13.6,35800.0,-1.9,82.8,1.39,44500.0,2000
Jordan,21.1,48.3,8.04,69.0,9470.0,8.43,75.8,3.66,3680.0,2000
Kazakhstan,21.5,44.2,4.29,29.9,20100.0,19.5,68.4,2.6,9070.0,2000
Kenya,62.2,20.7,4.75,33.6,2480.0,2.09,62.8,4.37,967.0,2000
Kiribati,62.7,13.3,11.3,79.9,1730.0,1.52,60.7,3.84,1490.0,2000
Kuwait,10.8,66.7,2.63,30.4,75200.0,11.2,78.2,2.21,38500.0,2000
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790.0,10.0,68.5,3.1,880.0,2000
Lao,78.9,35.4,4.47,49.3,3980.0,9.2,63.8,3.15,1140.0,2000
Latvia,7.8,53.7,6.68,55.1,18300.0,-0.812,73.1,1.36,11300.0,2000
Lebanon,10.3,35.8,7.03,60.2,16300.0,0.238,79.8,1.61,8860.0,2000
Lesotho,99.7,39.4,11.1,101.0,2380.0,4.15,46.5,3.3,1170.0,2000
Liberia,89.3,19.1,11.8,92.6,700.0,5.47,60.8,5.02,327.0,2000
Libya,16.6,65.6,3.88,42.1,29600.0,14.2,76.1,2.41,12100.0,2000
Lithuania,6.1,65.3,7.04,67.2,21100.0,2.38,73.2,1.5,12000.0,2000
Luxembourg,2.8,175.0,7.77,142.0,91700.0,3.62,81.3,1.63,105000.0,2000
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400.0,2.04,74.0,1.47,4540.0,2000
Madagascar,62.2,25.0,3.77,43.0,1390.0,8.79,60.8,4.6,413.0,2000
Malawi,90.5,22.8,6.59,34.9,1030.0,12.1,53.1,5.31,459.0,2000
Malaysia,7.9,86.9,4.39,71.0,21100.0,7.27,74.5,2.15,9070.0,2000
Maldives,13.2,77.6,6.33,65.4,10500.0,2.88,77.9,2.23,7100.0,2000
Mali,137.0,22.8,4.98,35.1,1870.0,4.37,59.5,6.55,708.0,2000
Malta,6.8,153.0,8.65,154.0,28300.0,3.83,80.3,1.36,21100.0,2000
Mauritania,97.4,50.7,4.41,61.2,3320.0,18.9,68.2,4.98,1200.0,2000
Mauritius,15.0,51.2,6.0,62.2,15900.0,1.13,73.4,1.57,8000.0,2000
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340.0,3.8,65.4,3.46,2860.0,2000
Moldova,17.2,39.2,11.7,78.5,3910.0,11.1,69.7,1.27,1630.0,2000
Mongolia,26.1,46.7,5.44,56.7,7710.0,39.2,66.2,2.64,2650.0,2000
Montenegro,6.8,37.0,9.11,62.7,14000.0,1.6,76.4,1.77,6680.0,2000
Morocco,33.5,32.2,5.2,43.0,6440.0,0.976,73.5,2.58,2830.0,2000
Mozambique,101.0,31.5,5.21,46.2,918.0,7.64,54.5,5.56,419.0,2000
Myanmar,64.4,0.109,1.97,0.0659,3720.0,7.04,66.8,2.41,988.0,2000
Namibia,56.0,47.8,6.78,60.7,8460.0,3.56,58.6,3.6,5190.0,2000
Nepal,47.0,9.58,5.25,36.4,1990.0,15.1,68.3,2.61,592.0,2000
Netherlands,4.5,72.0,11.9,63.6,45500.0,0.848,80.7,1.79,50300.0,2000
New Zealand,6.2,30.3,10.1,28.0,32300.0,3.73,80.9,2.17,33700.0,2000
Niger,123.0,22.2,5.16,49.1,814.0,2.55,58.8,7.49,348.0,2000
Nigeria,130.0,25.3,5.07,17.4,5150.0,104.0,60.5,5.84,2330.0,2000
Norway,3.2,39.7,9.48,28.5,62300.0,5.95,81.0,1.95,87800.0,2000
Oman,11.7,65.7,2.77,41.2,45300.0,15.6,76.1,2.9,19300.0,2000
Pakistan,92.1,13.5,2.2,19.4,4280.0,10.9,65.3,3.85,1040.0,2000
Panama,19.7,70.0,8.1,78.2,15400.0,2.59,77.8,2.62,8080.0,2000
Paraguay,24.1,55.1,5.87,51.5,7290.0,6.1,74.1,2.73,3230.0,2000
Peru,20.3,27.8,5.08,23.8,9960.0,5.71,77.9,2.54,5020.0,2000
Philippines,31.9,34.8,3.61,36.6,5600.0,4.22,69.0,3.16,2130.0,2000
Poland,6.0,40.1,7.46,42.1,21800.0,1.66,76.3,1.41,12600.0,2000
Portugal,3.9,29.9,11.0,37.4,27200.0,0.643,79.8,1.39,22500.0,2000
Qatar,9.0,62.3,1.81,23.8,125000.0,6.98,79.5,2.07,70300.0,2000
Romania,11.5,32.6,5.58,38.8,17800.0,3.53,73.7,1.59,8230.0,2000
Russia,10.0,29.2,5.08,21.1,23100.0,14.2,69.2,1.57,10700.0,2000
Rwanda,63.6,12.0,10.5,30.0,1350.0,2.61,64.6,4.51,563.0,2000
Samoa,18.9,29.2,6.47,53.1,5400.0,1.72,71.5,4.34,3450.0,2000
Saudi Arabia,15.7,49.6,4.29,33.0,45400.0,17.2,75.1,2.96,19300.0,2000
Senegal,66.8,24.9,5.66,40.3,2180.0,1.85,64.0,5.06,1000.0,2000
Serbia,7.6,32.9,10.4,47.9,12700.0,5.88,74.7,1.4,5410.0,2000
Seychelles,14.4,93.8,3.4,108.0,20400.0,-4.21,73.4,2.17,10800.0,2000
Sierra Leone,160.0,16.8,13.1,34.5,1220.0,17.2,55.0,5.2,399.0,2000
Singapore,2.8,200.0,3.96,174.0,72100.0,-0.046,82.7,1.15,46600.0,2000
Slovak Republic,7.0,76.3,8.79,77.8,25200.0,0.485,75.5,1.43,16600.0,2000
Slovenia,3.2,64.3,9.41,62.9,28700.0,-0.987,79.5,1.57,23400.0,2000
Solomon Islands,28.1,49.3,8.55,81.2,1780.0,6.81,61.7,4.24,1290.0,2000
South Africa,53.7,28.6,8.94,27.4,12000.0,6.35,54.3,2.59,7280.0,2000
South Korea,4.1,49.4,6.93,46.2,30400.0,3.16,80.1,1.23,22100.0,2000
Spain,3.8,25.5,9.54,26.8,32500.0,0.16,81.9,1.37,30700.0,2000
Sri Lanka,11.2,19.6,2.94,26.8,8560.0,22.8,74.4,2.2,2810.0,2000
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920.0,4.44,71.6,2.07,6230.0,2000
Sudan,76.7,19.7,6.32,17.2,3370.0,19.6,66.3,4.88,1480.0,2000
Suriname,24.1,52.5,7.01,38.4,14200.0,7.2,70.3,2.52,8300.0,2000
Sweden,3.0,46.2,9.63,40.7,42900.0,0.991,81.5,1.98,52100.0,2000
Switzerland,4.5,64.0,11.5,53.3,55500.0,0.317,82.2,1.52,74600.0,2000
Tajikistan,52.4,14.9,5.98,58.6,2110.0,12.5,69.6,3.51,738.0,2000
Tanzania,71.9,18.7,6.01,29.1,2090.0,9.25,59.3,5.43,702.0,2000
Thailand,14.9,66.5,3.88,60.8,13500.0,4.08,76.6,1.55,5080.0,2000
Timor-Leste,62.6,2.2,9.12,27.8,1850.0,26.5,71.1,6.23,3600.0,2000
Togo,90.3,40.2,7.65,57.3,1210.0,1.18,58.7,4.87,488.0,2000
Tonga,17.4,12.4,5.07,60.3,4980.0,3.68,69.9,3.91,3550.0,2000
Tunisia,17.4,50.5,6.21,55.3,10400.0,3.82,76.9,2.14,4140.0,2000
Turkey,19.1,20.4,6.74,25.5,18000.0,7.01,78.2,2.15,10700.0,2000
Turkmenistan,62.0,76.3,2.5,44.5,9940.0,2.31,67.9,2.83,4440.0,2000
Uganda,81.0,17.1,9.01,28.6,1540.0,10.6,56.8,6.15,595.0,2000
Ukraine,11.7,47.1,7.72,51.1,7820.0,13.4,70.4,1.44,2970.0,2000
United Arab Emirates,8.6,77.7,3.66,63.6,57600.0,12.5,76.5,1.87,35000.0,2000
United Kingdom,5.2,28.2,9.64,30.8,36200.0,1.57,80.3,1.92,38900.0,2000
United States,7.3,12.4,17.9,15.8,49400.0,1.22,78.7,1.93,48400.0,2000
Uruguay,10.6,26.3,8.35,25.4,17100.0,4.91,76.4,2.08,11900.0,2000
Uzbekistan,36.3,31.7,5.81,28.5,4240.0,16.5,68.8,2.34,1380.0,2000
Vanuatu,29.2,46.6,5.25,52.7,2950.0,2.62,63.0,3.5,2970.0,2000
Venezuela,17.1,28.5,4.91,17.6,16500.0,45.9,75.4,2.47,13500.0,2000
Vietnam,23.3,72.0,6.84,80.2,4490.0,12.1,73.1,1.95,1310.0,2000
Yemen,56.3,30.0,5.18,34.4,4480.0,23.6,67.5,4.67,1310.0,2000
Zambia,83.1,37.0,5.89,30.9,3280.0,14.0,52.0,5.4,1460.0,2000
Afghanistan,93.6840688905275,10.300211186051037,7.703698477673678,46.674890447406284,1665.8083783486381,9.737907217176774,53.681462968324915,5.625484302168603,556.8829048471531,2001
Afghanistan,95.18576300622415,10.4805145560168,7.923119083770178,47.77921594771525,1667.0207926267299,9.52888284054448,54.029036582074596,5.4645992120409375,575.068937164377,2002
Afghanistan,97.08917457306661,10.230095247712844,7.935516005395602,47.28660809568477,1698.1505641787917,9.058785257554128,52.46662571484974,5.530497199085579,575.3120328673742,2003
Afghanistan,99.72334969901128,9.860340009210468,7.857650962076683,49.613092445968334,1648.880865521454,9.402319753378997,51.603767078239024,5.354837356121078,599.8139062700783,2004
Afghanistan,97.29497663049372,9.419806442102232,7.679148607926022,47.84686353852862,1707.4063133082373,8.966297460724403,51.67223791727172,5.529778250373901,571.1580912901992,2005
Afghanistan,97.31518716282616,9.502796597651738,7.389963372340389,45.66469970213978,1681.7080285334616,8.687020903339182,50.87491542022858,5.275122967632883,544.7471771817477,2006
Afghanistan,95.72652767220389,9.596908429966902,7.511137026974026,47.5553135000929,1671.1409298492135,8.834959905321236,49.63937566135233,5.342686689483008,545.2094645230428,2007
Afghanistan,94.94259458468059,9.79943341683455,7.356641462310204,46.511147531071906,1713.657034658751,8.952242299775989,48.47148916150169,5.200117675354435,572.2312893798282,2008
Afghanistan,94.87234846851698,9.803384540704931,7.004786185343324,44.70536370301002,1713.8469983658017,9.26445834966927,50.76989486657056,5.175309530737135,564.3819648863143,2009
Afghanistan,98.770395205616,9.924274014211802,7.066168435740878,44.43363665827162,1692.6334017159497,9.555457301406765,51.48043272918967,5.01110024048194,571.9255590256191,2010
Afghanistan,96.57737545978375,10.377045192101512,6.820956313051691,45.10638551480304,1661.5968071952525,9.274231851382535,50.69691546626191,5.003306067652534,588.4776464938344,2011
Afghanistan,100.82405157452867,9.875227998624744,6.7241903438487105,45.73337718713487,1636.3892763768145,9.050038396126235,50.28115626239285,5.136326452154178,582.2299228116278,2012
Afghanistan,100.67261373039771,9.547591854916023,6.438414576501504,45.86482237075366,1701.9706991221792,9.472348254529534,50.86649734357992,5.382274370524426,585.2575316248722,2013
Afghanistan,97.33663684161495,9.39021325934786,6.541645292616694,47.48839331923108,1731.9688587644514,9.50932228411042,52.9098628720283,5.192624571653975,570.7803064431631,2014
Afghanistan,92.96597567995988,9.273589780057389,6.668681187884433,45.191494822549146,1766.0965581492298,9.31775977063289,52.12925762705884,5.190210345275774,545.7848219148577,2015
Afghanistan,89.98436459083776,8.822074431953885,6.558891452956633,44.79283170197942,1740.7447259944786,8.879683884140249,49.72217772979758,5.3232832708862245,571.1850770304655,2016
Afghanistan,89.6790035021744,8.48434005560887,6.645842825164328,45.172093553675246,1697.9038695668185,9.050672690969867,49.21855726824259,5.4292301426536715,543.1362285202126,2017
Afghanistan,86.55530800266027,8.240503934886766,6.86232393103192,46.064826717559406,1745.2821099169414,9.242912512550562,49.64961663787944,5.389888277841528,559.3345262840047,2018
Afghanistan,90.0541516284876,8.435530090263432,6.8606431229436655,48.2776858418015,1698.7313073651953,9.066134219020837,51.176369746998574,5.4249021865913845,537.4792411877693,2019
Afghanistan,88.6015394458023,8.075793534593872,7.0555059148522306,50.00745372394215,1671.1376012509272,8.690386206144302,48.94659756744157,5.188796034563489,544.2623995112026,2020
Afghanistan,87.55863618380317,8.3973345054995,6.988137426573344,49.03977740680674,1650.2884201185464,8.622924579828542,48.3180086438943,5.30295578523579,544.4179107419787,2021
Afghanistan,89.0848925693925,8.082873998358128,7.316096091493836,50.28317480550462,1594.4719147809203,8.7343775926305,47.11959429802613,5.420900278533695,543.510519926196,2022
Afghanistan,89.38523271103634,7.817760661325503,7.352453214222315,51.26769671350261,1613.2819195357245,8.506181524807733,47.25439991276274,5.489689592554839,525.9012488334552,2023
Albania,16.83703676263497,28.550206765038308,6.360276141474129,47.217631620588534,9855.852437413394,4.347833430620157,74.93077649799348,1.6029922654669437,3957.2785226970886,2001
Albania,17.268028080815267,28.812434009461157,6.60946653447839,47.15862975404501,9967.226231434499,4.426077768494846,76.52512721784947,1.5281828063449645,4000.278139246353,2002
Albania,18.06200698614328,27.98390274898382,6.894081269039391,45.75803069813896,9876.94743692407,4.355462584184125,73.18566196766669,1.4672738310846383,3888.5639681411876,2003
Albania,17.806675345405832,27.757525669983004,6.634338049942825,48.03239090219114,9839.166972696272,4.295550036400529,72.6268539738865,1.478760911905726,4038.0408540484004,2004
Albania,16.934044680999477,28.63038187775113,6.473018295011416,46.293167399796396,10003.368947041303,4.406602207865979,72.58512585381936,1.4893638177829396,4209.5800233315995,2005
Albania,17.448358750699505,28.884147292011757,6.242478688277623,48.0092414553659,9845.78807172095,4.345956568722199,71.59337900463387,1.5496099110318213,4116.766396389311,2006
Albania,17.220524631122917,28.302016110074764,6.375811976104712,47.26004432191796,9503.861072748632,4.445689623442512,75.16528249487236,1.5468858113801647,4039.7207422770816,2007
Albania,16.848810318510484,27.83608714392444,6.61551530030714,45.21390148080026,9459.070178242962,4.45906760689233,76.3378436305976,1.4886235894007196,4045.2165430289474,2008
Albania,16.78604541570714,28.269658223052517,6.444178929184808,47.46091040750079,9010.497885398538,4.4386080703235855,77.48979753029124,1.4312668576676464,3954.462275229859,2009
Albania,17.320366927721427,29.54243856703419,6.187348836662398,46.04796089927376,9436.741829497532,4.45230518283389,75.84408193828604,1.4211005722080567,4076.9893467839756,2010
Albania,16.517129440636836,29.8232802260559,6.010295276014372,47.347185936089566,9142.904913380951,4.589505198454166,74.65372703351026,1.361945691891734,4169.933695159538,2011
Albania,16.82948206244996,29.41199365823381,6.1654489328724615,46.96827639210899,8880.531226971014,4.403891086989924,75.43967421994394,1.2953144662754654,4213.442881431415,2012
Albania,17.038508220139907,30.431736549758437,6.217075870488138,47.60398513388201,9221.87200743181,4.422705265372665,76.32933677506932,1.258592642458857,4338.766962181903,2013
Albania,17.29477940277667,31.719326407216666,6.086166050559236,45.42715260039027,8872.14479290975,4.385398926514108,78.23819109285775,1.2131730898882325,4223.391416513834,2014
Albania,16.89356145321119,31.10260924218914,6.319467219130382,43.658566136353166,8646.38605318454,4.256761600196807,79.78615025173261,1.239355766311007,4331.882914068844,2015
Albania,17.72087464263871,32.57014531556593,6.3994271176529285,41.59728641387204,8244.999024940364,4.046335794354722,76.63299752222632,1.2679119424330014,4170.054664715305,2016
Albania,16.96797774452906,33.58108334789472,6.131769838030624,41.878182080668594,7910.30927338177,4.191208575057169,74.64318037952437,1.298564072857279,4279.971066718925,2017
Albania,16.720014261462822,31.972240578753222,6.0404390780883075,40.350400709582495,7996.372691944502,4.336616630435265,73.60328478602752,1.2722735148573823,4435.18464067218,2018
Albania,17.246320961448436,32.004319685629845,6.099426346988209,39.76454153820688,8171.987801683878,4.392492550443977,73.74659096248037,1.2369457574077631,4606.838991933308,2019
Albania,17.25174348084811,33.595689600856,5.857445450971269,39.04514051511719,8269.075587741434,4.589751989767792,71.7361851464515,1.1756677294651976,4597.01830760494,2020
Albania,16.4747025648238,34.308346317483476,6.130499494165082,38.762715525765735,8520.6509047299,4.528366842369792,74.62061838076063,1.189891663088686,4639.993616225916,2021
Albania,15.7390848749692,33.942154503419054,6.2203518070053665,37.57010885033959,8599.168176368217,4.302517651710868,73.97909084825449,1.18109118304443,4615.070265113047,2022
Albania,15.003474712999427,33.88912103943748,6.083658124797802,36.784183460937925,8907.330411129253,4.300025180979534,74.8605154051276,1.1642158361358368,4600.883738015109,2023
Algeria,26.487415079514182,37.863214338439704,4.008305860925733,32.37777342822555,13232.467922743032,16.161293098608343,75.78819160945677,2.8043575631218824,4286.336274305807,2001
Algeria,25.989348796470445,37.97311748143881,4.041356987566842,33.96556566251753,13856.217925672274,15.414417206320593,77.49745308346957,2.8833125907350734,4498.764325343604,2002
Algeria,25.12263174122154,38.35963969363151,3.93385592340533,33.40099617203409,14069.173046496424,15.813553744693758,79.73911874904151,2.994016439551771,4290.075616591732,2003
Algeria,26.28484577564784,37.517903653485064,4.048517506548255,32.39683746849936,14612.269646976778,16.36935134830998,77.40028485313383,3.016727094726842,4355.942481314462,2004
Algeria,25.769678164012618,37.855675821150825,4.211705814052037,33.0385462178345,14485.548690342057,15.690366607128674,76.0430777554614,3.0782561486959366,4431.864407078359,2005
Algeria,25.70595186041886,38.54169856235207,4.302841994338733,33.538489789869594,14300.517443242972,15.5867459126184,72.95766328453796,2.989725592689462,4239.355163695855,2006
Algeria,26.35737087204523,39.19854882109156,4.201633427267103,33.4260654861328,14950.746953645548,15.162568956206677,74.71866344703773,2.9232701872691096,4216.216199333611,2007
Algeria,25.330822347480833,39.233893830320206,4.352623739292349,33.22460351287209,14637.048446267518,14.596004178805916,73.54796856500305,2.9164901654395234,4316.980984406166,2008
Algeria,24.84043274051377,40.81988882151595,4.475738896242045,33.36638725236932,14856.690926174722,14.016173220392673,70.85785731498441,3.02088586685306,4449.211388241915,2009
Algeria,25.497689309082713,39.072910159188524,4.698032548001943,31.882291334797017,15147.862852564145,13.531126532764013,71.73478985415173,3.066068930055809,4291.613152081368,2010
Algeria,24.73471708776197,37.6336824483188,4.502862007573735,31.859932821291284,14840.67901682148,13.861030056181438,68.26325640882746,3.130676473398591,4458.238776816329,2011
Algeria,23.529760445603717,36.53548435344849,4.69663910144203,31.901526665780516,15022.811504850324,14.459551728681248,68.54899795879003,3.0470280497989632,4681.109536356878,2012
Algeria,24.33157979688725,36.1334109122227,4.901182370401212,31.789197143079285,15455.751157698058,14.639822729664962,70.23653780067092,3.185155593141379,4549.436609937854,2013
Algeria,24.656768872612385,36.577990039309114,5.011170339513756,31.50948230258732,15891.073921298803,14.056739848667664,67.65253961545427,3.1652117388149197,4507.444799203863,2014
Algeria,24.51009495209702,36.02659588142231,4.998766949712388,32.344507674236105,16609.67816742808,13.382412264088423,67.84473774774989,3.157305343343698,4282.172783565548,2015
Algeria,24.243559717869005,37.738286960455405,5.153410284160185,32.64882986005841,17079.113960321225,12.840973215274586,70.56296444301017,3.19258511766299,4488.768434239248,2016
Algeria,25.072853047359093,38.80628785112439,5.214460622416453,32.75446279179743,16982.18662233278,13.444262077489762,71.49710761760133,3.0403604353640796,4414.233012942288,2017
Algeria,24.536173101985966,38.491345931174386,5.052687056165523,33.12118914940368,16644.2547847608,13.405116446803065,70.02364932772929,3.0667707095311667,4300.634854842326,2018
Algeria,25.196095550998383,37.46280734746209,4.898809233043086,34.51461244025176,16618.600354435603,13.632085709356133,66.92424048180071,3.0104255237699724,4345.301084862709,2019
Algeria,25.953614427400336,36.48504296300923,4.896146057030214,33.67040048975062,16813.731627077,13.566808668614078,69.66958923542633,2.8897655054388687,4252.725661386314,2020
Algeria,26.326022185850537,35.23989076806095,4.878306173094393,33.78860102377173,16243.2331940181,13.407674326726948,69.35968279945075,2.857142907200332,4189.090918343173,2021
Algeria,25.04538449724352,36.13409098329569,4.822631241550686,35.36583139404495,16537.15314219124,13.98260891607842,68.06335427349028,2.9585491773808776,4056.1080383550175,2022
Algeria,25.697924354819584,34.47933664796939,4.611844794703102,33.60090226680292,16941.081643262936,14.523766064566246,65.07319014406882,3.089326455826926,3996.8561494813903,2023
Angola,121.85228004208685,62.09073599130478,2.8320720645490423,42.616379389211396,5894.840212258812,21.378307668007185,59.27089048857782,5.945161247179941,3359.7662399561996,2001
Angola,126.53362456622101,64.03687479027363,2.814751029731919,43.99493523348029,6115.3852764229005,22.439206811461098,61.24176572689468,5.819212406381228,3236.8417167622565,2002
Angola,129.21624718269373,65.05982477004952,2.7577803259206024,45.260171065015015,6125.355706157796,21.616296990390875,62.462303238702034,6.096447117982164,3317.237691571719,2003
Angola,129.78733670003,66.17016814586187,2.682085166951996,45.54960164770648,6018.672900486262,21.356911952298162,64.08876252956202,6.0574869595983145,3207.343080729403,2004
Angola,129.73716161119123,64.97403372079738,2.6345165148205343,46.67294706515767,6033.32935319723,21.721411298109356,61.853196772444626,6.326976875801855,3131.6972878753727,2005
Angola,125.09541877973311,62.64961227452592,2.697509610436849,48.99536471958453,6105.77088910344,21.139840772329148,63.285890335567196,6.354872233216044,3266.2410054940383,2006
